id,vocab,meaning,pronounce
C691,草,Grass,くさ
C730,音,"Sound, Noise ",おと
C575,作る,"To Make, To Build, To Create",つくる
C563,体,Body,からだ
C565,体力,"Physical Strength, Physical Power, Stamina, Endurance",たいりょく
C564,体内,"Internal, Within The Body, Inside The Body ",たいない
C576,作文,"Composition, Writing, Essay",さくぶん
C620,工作,"Handicraft, Crafts, Maneuvering",こうさく
C613,大作,"An Epic, Epic, Epic Saga, Masterpiece, Masterwork, Magnum Opus",たいさく
C602,図,Diagram,ず
C604,声,Voice,こえ
C614,大声,"Large Voice, Loud Voice, Big Voice",おおごえ
C625,弟,"Younger Brother, Little Brother",おとうと
C580,兄弟,"Brothers, Siblings",きょうだい
C639,来る,To Come,くる
C641,来月,Next Month,らいげつ
C640,来年,Next Year,らいねん
C593,古来,Ancient,こらい
C607,外来,"Imported, Outpatient, Foreign ",がいらい
C536,〜年来,"For Some Years, For Years",ねんらい
C664,社内,"Within The Company, In House, Inside The Company",しゃない
C586,入社,"Joining A Company, Entering A Company",にゅうしゃ
C637,本社,"Headquarters, HQ, Head Office, Company Headquarters",ほんしゃ
C561,会社,"Company, Corporation, The Office ",かいしゃ
C701,角,"Angle, Corner","かく, かど"
C545,三角,Triangle,さんかく
C598,四角,"Square, Rectangle, Cube ",しかく
C704,言う,To Say,いう
C706,谷,Valley,たに
C709,走る,To Run,はしる
C710,走行,"Traveling, Running, Moving, Driving",そうこう
C712,近い,"Close, Nearby, Near ",ちかい
C714,近日,"Soon, In A Few Days, Coming Days ",きんじつ
C713,近年,Recent Years,きんねん
C732,麦,"Wheat, Barley, Oats ",むぎ
C659,男の子,Boy,おとこのこ
C652,毛虫,Caterpillar,けむし
C548,下町,"Downtown, Backstreets",したまち
C658,男の人,Man,おとこのひと
C553,今まで,"Until Now, Up To Now, So Far",いままで
C651,毛糸,"Wool Yarn, Yarn",けいと
C552,今すぐ,"At Once, Right Now, Immediately, Right Away",いますぐ
C717,里,"Hometown, Village, One's Parents' Home",さと
C635,本当,"Reality, Truth, Real, True ",ほんとう
C668,空車,"Open Taxi, Empty Parking Space",くうしゃ
C559,会,"Meeting, Assembly, Party",かい
C678,考古学,"Archeology, Archaeology ",こうこがく
C543,一生,"Whole Life, All Through Life, Lifelong",いっしょう
C555,仕草,"Action, Gesture, Behavior",しぐさ
C537,〜形,"Form, Tense",けい
C606,外交,Diplomacy,がいこう
C656,生まれ,"Birthplace, Birth",うまれ
C612,大体,"Generally, About, General, Gist",だいたい
C630,文学,Literature,ぶんがく
C636,本来,"Originally, Primarily, Essentially, Naturally",ほんらい
C538,〜斤,"Bread Loaf Counter, Counter for Loaves of Bread",きん
C802,大文字,"Uppercase Letters, Capital Letters, Uppercase",おおもじ
C900,耳打ち,"Whisper In Ear, Whisper In One's Ear ",みみうち
C909,見分ける,"To Distinguish, To Tell Apart, To Recognize",みわける
C757,仕方がない,"Can't Be Helped, It's No Use, There's No Other Way",しかたがない
C765,写る,"To Be Photographed, To Be In A Photograph",うつる
C833,文化,Culture,ぶんか
C794,地,"Earth, Ground, Land ",ち
